NAME,TYPE,LOCATION,
"coreservices-nic","Network Interface","East US"
"CoreServicesGW-to-ManufacturingGW","Connection","East US"
"CoreServicesVM","Virtual machine","East US"
"CoreServicesVM-ip","Public IP address","East US"
"CoreServicesVM-nsg","Network security group","East US"
"CoreServicesVM_disk1_e5c7bb859db64308bef39022d871e773","Disk","East US"
"CoreServicesVnet","Virtual network","East US"
"CoreServicesVnetGateway","Virtual network gateway","East US"
"CoreServicesVnetGateway-ip","Public IP address","East US"
"manufacturing-nic","Network Interface","Central US"
"ManufacturingGW-to-CoreServicesGW","Connection","Central US"
"ManufacturingVM","Virtual machine","Central US"
"ManufacturingVM-ip","Public IP address","Central US"
"ManufacturingVM-nsg","Network security group","Central US"
"ManufacturingVM_OsDisk_1_82a88f8ed44946ee9e90eb235a147d33","Disk","Central US"
"ManufacturingVnet","Virtual network","Central US"
"ManufacturingVnetGateway","Virtual network gateway","Central US"
"ManufacturingVnetGateway-ip","Public IP address","Central US"
"ResearchVnet","Virtual network","West US"
